"BNetzA-ID";"Kraftwerksname";"Blockname";"Energieträger";"KWK
Ja/Nein";"PLZ";"Ort";"Bundesland/
Land";"Inbetrieb-
nahmejahr";"Status";"el. Leistung
06.02.2020";"A 2035:
KWK-Ersatz";"A 2035:
Leistung";"B 2035
KWK-Ersatz";"B 2035:
Leistung";"C 2035:
KWK-Ersatz";"C 2035:
Leistung";"B 2040:
KWK-Ersatz";"B 2040:
Leistung"
"BNA0498";"Heizkraftwerk";"Block B";"Steinkohle";"Ja";"65926";"Industriepark
Höchst";"HE";1989;"in Betrieb";66;"Ja";16,5;"Ja";33;"Ja";49,5;"Ja";33
"BNA0999";"Heizkraftwerk";"HKV";"Steinkohle";"Ja";"66333";"Völklingen-
Fenne";"SL";1989;"in Betrieb";211;"Ja";52,8;"Ja";105,5;"Ja";158,3;"Ja";105,5
"BNA0087";"Reuter West";"Reuter West E";"Steinkohle";"Ja";"13599";"Berlin";"BE";1988;"in Betrieb";282;"Ja";70,5;"Ja";141;"Ja";211,5;"Ja";141
"BNA0216a";"KW Walsum";"Walsum 9";"Steinkohle";"Ja";"47180";"Duisburg";"NW";1988;"in Betrieb";370;"Ja";92,5;"Ja";185;"Ja";277,5;"Ja";185
"BNA0271";"Heizkraftwerk FL";"Block 10";"Steinkohle";"Ja";"24939";"Flensburg";"SH";1988;"in Betrieb";33;"Ja";8,3;"Ja";16,5;"Ja";24,8;"Ja";16,5
"BNA0861b";"HKW Römerbrücke";"Kohleanlage";"Steinkohle";"Ja";"66121";"Saarbrücken";"SL";1988;"saisonale
Konservie-
rung";50;"Ja";12,5;"Ja";25;"Ja";37,5;"Ja";25
"BNA0086";"Reuter West";"Reuter West D";"Steinkohle";"Ja";"13599";"Berlin";"BE";1987;"in Betrieb";282;"Ja";70,5;"Ja";141;"Ja";211,5;"Ja";141
"BNA0793";"Heyden";4;"Steinkohle";"Nein";"32469";"Petershagen";"NW";1987;"in Betrieb";875;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA1093";"Zolling";"Zolling Block 5";"Steinkohle";"Ja";"85406";"Zolling";"BY";1986;"in Betrieb";472;"Ja";118;"Ja";236;"Ja";354;"Ja";236
"BNA1467";;;"Steinkohle";"Ja";"77704";"Oberkirch";"BW";1986;"in Betrieb";18,5;"Ja";4,6;"Ja";9,3;"Ja";13,9;"Ja";9,3
"BNA0020";"Heizkraftwerk Alt-
bach/Deizisau";"ALT HKW 1";"Steinkohle";"Ja";"73776";"Altbach";"BW";1985;"in Betrieb **";433;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0272";"Heizkraftwerk FL";"Block 9";"Steinkohle";"Ja";"24939";"Flensburg";"SH";1985;"in Betrieb";33;"Ja";8,3;"Ja";16,5;"Ja";24,8;"Ja";16,5
"BNA0336";"FWK Buer";;"Steinkohle";"Ja";"45896";"Gelsenkirchen";"NW";1985;"in Betrieb";70;"Ja";17,5;"Ja";35;"Ja";52,5;"Ja";35
"BNA0434";"Heizkraftwerk Heilbronn";"HLB 7";"Steinkohle";"Ja";"74076";"Heilbronn";"BW";1985;"in Betrieb";778;"Ja";194,5;"Ja";389;"Ja";583,5;"Ja";389
"BNA0493";"Ibbenbüren";"B";"Steinkohle";"Ja";"49479";"Ibbenbüren";"NW";1985;"saisonale
Konservie-
rung";794;"Ja";198,5;"Ja";397;"Ja";595,5;"Ja";397
"BNA0518a";"Rheinhafen-Dampfkraftwerk";"RDK 7";"Steinkohle";"Ja";"76189";"Karlsruhe";"BW";1985;"in Betrieb";517;"Ja";129,3;"Ja";258,5;"Ja";387,8;"Ja";258,5
"BNA1076a";"HKW West";"Block 1";"Steinkohle";"Ja";"38436";"Wolfsburg";"NI";1985;"in Betrieb";138,5;"Ja";34,6;"Ja";69,3;"Ja";103,9;"Ja";69,3
"BNA1076b";"HKW West";"Block 2";"Steinkohle";"Ja";"38436";"Wolfsburg";"NI";1985;"in Betrieb";138,5;"Ja";34,6;"Ja";69,3;"Ja";103,9;"Ja";69,3
"BNA0138";"HKW-Mitte";"Block 1";"Steinkohle";"Ja";"38106";"Braunschweig";"NI";1984;"in Betrieb";43,3;"Ja";10,8;"Ja";21,7;"Ja";32,5;"Ja";21,7
"BNA0936";"Restmüll-Heizkraftwerk
Stuttgart-Münster";"MÜN DT15";"Steinkohle";"Ja";"70376";"Stuttgart";"BW";1984;"in Betrieb";45;"Ja";11,3;"Ja";22,5;"Ja";33,8;"Ja";22,5
"BNA0093";"Kraftwerk Bexbach";"BEX";"Steinkohle";"Nein";"66450";"Bexbach";"SL";1983;"in Betrieb ***";726;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0662a";"Kraftwerk I";"Block 5";"Steinkohle";"Ja";"45772";"Marl";"NW";1983;"in Betrieb";68,4;"Ja";17,1;"Ja";34,2;"Ja";51,3;"Ja";34,2
"BNA0645";"GKM";"Block 7";"Steinkohle";"Ja";"68199";"Mannheim";"BW";1982;"saisonale
Konservie-
rung";425;"Ja";106,3;"Ja";212,5;"Ja";318,8;"Ja";212,5
"BNA0935";"Restmüll-Heizkraftwerk
Stuttgart-Münster";"MÜN DT12";"Steinkohle";"Ja";"70376";"Stuttgart";"BW";1982;"in Betrieb";45;"Ja";11,3;"Ja";22,5;"Ja";33,8;"Ja";22,5
"BNA0998";"Modellkraftwerk";"MKV";"Steinkohle";"Ja";"66333";"Völklingen-
Fenne";"SL";1982;"saisonale
Konservie-
rung";179;"Ja";44,8;"Ja";89,5;"Ja";134,3;"Ja";89,5
"BNA0067";"Bergkamen";"A";"Steinkohle";"Nein";"59192";"Bergkamen";"NW";1981;"saisonale
Konservie-
rung";717;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0261b";"HKW Erlangen";"K6 DT2";"Steinkohle";"Ja";"91052";"Erlangen";"BY";1980;"in Betrieb *";17,4;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0146";"KW Hafen";"Block 6";"Steinkohle";"Ja";"28237";"Bremen";"HB";1979;"in Betrieb";303;"Ja";75,8;"Ja";151,5;"Ja";227,3;"Ja";151,5
"BNA0464";"KWM";"Block3";"Steinkohle";"Nein";"31249";"Hohenhameln
OT Mehrum";"NI";1979;"in Betrieb";690;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA1405a";"Heizkraftwerk Magirusstraße";;"Steinkohle";"Ja";"89077";"Ulm";"BW";1978;"in Betrieb";20,7;"Ja";5,2;"Ja";10,4;"Ja";15,5;"Ja";10,4
"BNA0820";"Weiher";"Weiher III";"Steinkohle";"Ja";"66287";"Quierschied";"SL";1976;"in Betrieb ***";655,6;"Ja";163,9;"Ja";327,8;"Ja";491,7;"Ja";327,8
"BNA1061";"Wilhelmshaven";1;"Steinkohle";"Nein";"26386";"Wilhelms-
haven";"NI";1976;"in Betrieb";757;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0834";"Solvay Kraftwerk Rheinberg";;"Steinkohle";"Ja";"47495";"Rheinberg";"NW";1975;"in Betrieb";79;"Ja";19,8;"Ja";39,5;"Ja";59,3;"Ja";39,5
"BNA0557b";"Kraftwerk N 230";;"Steinkohle";"Ja";"47812";"Krefeld-
Uerdingen";"NW";1971;"in Betrieb";110;"Ja";27,5;"Ja";55;"Ja";82,5;"Ja";55
"BNA0660";"Kraftwerk I";"Block 4";"Steinkohle";"Ja";"45772";"Marl";"NW";1971;"in Betrieb";55,6;"Ja";13,9;"Ja";27,8;"Ja";41,7;"Ja";27,8
"BNA0147";"Farge";"Farge";"Steinkohle";"Nein";"28777";"Bremen";"HB";1969;"in Betrieb";350;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0331";"Scholven";"C";"Steinkohle";"Ja";"45896";"Gelsenkirchen";"NW";1969;"in Betrieb";345;"Ja";86,3;"Ja";172,5;"Ja";258,8;"Ja";172,5
"BNA0926b";"Heizkraftwerk der Sappi
Stockstadt GmbH";"Konventionelles
Sammelschienen-
kraftwerk Turbine
7";"Steinkohle";"Ja";"63811";"Stockstadt";"BY";1969;"in Betrieb";24,8;"Ja";6,2;"Ja";12,4;"Ja";18,6;"Ja";12,4
"BNA0332";"Scholven";"B";"Steinkohle";"Ja";"45896";"Gelsenkirchen";"NW";1968;"in Betrieb";345;"Ja";86,3;"Ja";172,5;"Ja";258,8;"Ja";172,5
"BNA1006";"Kraftwerk Walheim";"WAL 2";"Steinkohle";"Nein";"74399";"Walheim";"BW";1967;"in Betrieb **";148;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0433";"Heizkraftwerk Heilbronn";"HLB 6";"Steinkohle";"Nein";"74076";"Heilbronn";"BW";1966;"in Betrieb **";125;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0432";"Heizkraftwerk Heilbronn";"HLB 5";"Steinkohle";"Nein";"74076";"Heilbronn";"BW";1965;"in Betrieb **";125;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA1005";"Kraftwerk Walheim";"WAL 1";"Steinkohle";"Nein";"74399";"Walheim";"BW";1964;"in Betrieb **";96;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0403";"Wedel";"Wedel 2";"Steinkohle";"Ja";"22880";"Wedel";"SH";1962;"in Betrieb";123;"Ja";30,8;"Ja";61,5;"Ja";92,3;"Ja";61,5
"BNA0600b";"G-Kraftwerk";;"Steinkohle";"Ja";"51368";"Leverkusen";"NW";1962;"in Betrieb";103;"Ja";25,8;"Ja";51,5;"Ja";77,3;"Ja";51,5
"BNA0404";"Wedel";"Wedel 1";"Steinkohle";"Ja";"22880";"Wedel";"SH";1961;"in Betrieb";137;"Ja";34,3;"Ja";68,5;"Ja";102,8;"Ja";68,5
"BNA0557a";"Kraftwerk L 57";;"Steinkohle";"Ja";"47812";"Krefeld-
Uerdingen";"NW";1957;"in Betrieb";26;"Ja";6,5;"Ja";13;"Ja";19,5;"Ja";13
"BNA1331";"Reno De Medici";"HD - Kraftwerk";"Steinkohle";"Ja";"59821";"Arnsberg";"NW";1923;"in Betrieb";19;"Ja";4,7;"Ja";9,5;"Ja";14,2;"Ja";9,5
"KW<10 MW";;;"Steinkohle";"Ja";;"ohne
Zuordnung";;;"in Betrieb";19,7;"Nein";0;"Nein";0;"Nein";0;"Nein";0
